,Followers,Likes,Retweets,Sentiment,Tweeter-Handle,text,user_name
150,307,0,17,neutral,manujcase,"RT @diarioas: Nadal-Federer: captulo 38, la opinin de @Juan_Guti  https://t.co/pspS6RRD2J https://t.co/MUpUrHn5Ij",Manuel Jess
151,343,0,67,neutral,Jhon4tn,"RT @RogerFedererPy_: Roger Federer alcanz la victoria N 1123 de su carrera, la 349 en M1000, la 17 en Shanghai y la 43 del ao. https:",jhn
152,388,0,12,positive,alexvalle90,"RT @PuntoDBreak: Federer: ""Cuando estuve lesionado, me di cuenta del valor que tiene Rafa cada vez que super una lesin"" https://t.co/zwKu",Alejandro Valle
153,117,0,0,neutral,Raqueta_6A,Captulo 38: #Nadal y #Federer se enfrentarn en una final ms (por @cesarzarate_) https://t.co/aCirzHcsHb #masters1000shanghai,Sexto Anillo Raqueta
154,295,0,33,neutral,NinocasNinoska,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Ninoska
155,639,0,33,neutral,SebrianoCamila,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,SebrianoCamila.-
156,343,0,269,neutral,Jhon4tn,"RT @marca: Otro Nadal-Federer! El partido ms esperado por los amantes del tenis, en la final de Shanghai. Ser la tercera entre ambos en",jhn
157,295,0,158,neutral,NinocasNinoska,"RT @ESPNtenis: #TENISxESPN A ponerse el ! Una cita imperdible para el domingo: Nadal vs. Federer, a las 5.30 (BUE)/3.30 (BOG) por ESPN y",Ninoska
158,42,0,0,neutral,herbozobravo,@E_FLEISCHMAN @rogerfederer @RafaelNadal Roger Federer el mas grande mas nada,jose antonio
159,410,0,54,neutral,carlosgrommeck1,RT @MarDeporte: Para ver maana Roger Federer-Rafael Nadal tienen 2 opciones. Dormir temprano y madrugar o farrear y no dormir. El partido,Carlitos Grommeck
160,8153,0,2,neutral,MarisaVargas_R,"RT @PuntoDBreak: Federer contra Nadal. Captulo 38. El suizo gan los ltimos cuatro duelos, cortar la racha el espaol? https://t.co/MBV",MARISA #SiALaVida
161,55,0,216,neutral,BeaF8809,"RT @goitiatenis: GRACIAS POR TANTO!! Hay ms #Fedal Llega el 38 Federer-Nadal, en Shanghai. Con 36 aos Roger y 31 Rafa, juegan 3 final",Bea F
162,343,0,33,neutral,Jhon4tn,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,jhn
163,966183,0,0,neutral,CaraotaDigital,Federer elimin a Del Potro en Shanghai y se enfrentar a Nadal en la final / Va @CaraotaDeportes https://t.co/qG4DffLuhc,CaraotaDigital
164,5331,0,0,neutral,DisipR01,"Toda PERSONA DECENTE NO DEBE VOTAR https://t.co/d9gbMVTFNo 371&amp;lt; #DerechoDeRebelin EXH Mundial de 2018 Roger Federer ""Superteams""",Disip R01
165,34,0,12,positive,JueshaRawr,RT @jokelley_tennis: Either Rafael Nadal or Roger Federer will be the 107th consecutive European winner of Masters 1000s + grand slams + ye,Juesha Rawr
166,43,0,269,neutral,LeoLopezGo,"RT @marca: Otro Nadal-Federer! El partido ms esperado por los amantes del tenis, en la final de Shanghai. Ser la tercera entre ambos en",Leo Lopez
167,76,0,508,neutral,dfmr95,"RT @goitiatenis: FINALSIMAL! Federer derrot 3-6, 6-3 y 6-3 a Del Potro en Shanghai y definir ante Nadal. Ser la final N143 del suizo,",Daniel Malaver
168,138,0,157,positive,mbCarlos,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",Carlos
169,398,0,2,neutral,edu4u_per,"RT @PuntoDBreak: Maana, Federer-Nadal, a las 10:30 de la maana horario de Espaa https://t.co/XnK4AQrBzG",Eduardo Alcarraz
170,16536,0,0,neutral,AsiEsNoticiasVe,Federer: Nadal es uno de esos tipos que me hacen un mejor jugador https://t.co/XC5vAxFyAj https://t.co/sfAeagXl1B,As es Noticias
171,18441,2,2,neutral,PuntoDBreak,"Federer contra Nadal. Captulo 38. El suizo gan los ltimos cuatro duelos, cortar la racha el espaol? https://t.co/MBVamjJYah",Punto de Break
172,156,0,16,neutral,charogonrod,"RT @MovistarTenis: La final soada: Nadal vs Federer.
A las 10.30h, en Movistar Deportes 2. https://t.co/T3hUabpYzm",Charo Gonzalez
173,401,0,0,neutral,joelva,@K4Ksaz @goitiatenis @LuisAlvarez_1 @caroguillenESPN @fantinofantino @CopaDavis @FedererfansLA @Federer_Fans https://t.co/jgnouE22ni,Joel Vargas
174,66,0,3,neutral,Rust__8,"RT @ApuestaSergi: Anlisis de la final del Masters de Shanghai.
Federer vs Nadal
https://t.co/scYx3KubHJ",Rust
175,193,0,33,neutral,alexlop44555515,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,alex lopez
176,1737,0,5,neutral,wuily40,RT @elespanolcom: Este domingo Nadal disputa la final de #Shanghi ante Federer. En @podium_EE el horario y dnde verlo https://t.co/ZNSGMQ,WUILY   
177,3633,0,2,neutral,nenamargarita,RT @MatchTenis: Juan Martn Del Potro: Decid jugar en semifinales de Shanghi porque hacerlo ante Roger es siempre un honor. https://t.c,Nena Garcia
178,241,0,17,neutral,leoparturk,RT @emreyaziciol: Shanghai Mastersta yarn Nadal - Federer finali oynanacak. Teniste 2017 bereket yl. ,koray imek
179,572,0,0,neutral,ToscaTuca,"@bocijaro Viste a Nadal y Federer jugar juntos, o el ftbol no te deja?",Tosca_de_Mi
180,3443,0,22,neutral,F1_HAtawneh,RT @dm_mauron: Done Roger is in final  bravo  #Federer #SHRolexMasters https://t.co/iEd760O3Q5,Hayat Buz elalesi
181,5331,0,0,neutral,DisipR01,Votar es una idiotez al servicio de La dictadura roja. A Franceschi 26/9/17 https://t.co/CSYVah8m2A 192x Y0O Roger Federer Iribarren,Disip R01
182,2366,0,5,neutral,delmoralo,RT @elespanolcom: Este domingo Nadal disputa la final de #Shanghi ante Federer. En @podium_EE el horario y dnde verlo https://t.co/ZNSGMQ,David del Moral
183,6664,0,0,neutral,emredlmc,@Murat_kaya81 Federer ma ne oldu?,Emre
184,483,0,2,neutral,AnddreaSoy,RT @kienyke: .@RafaelNadal vs. @rogerfederer Final soada en China https://t.co/9OJTV3voit https://t.co/3hiW59nVgB,Andre@ Ri@o
185,184,0,59,neutral,BRULEYPATRICIA,"RT @ThibaultLeRol:  FEDERER - NADAL 
10h00 : Court Central 
10h30 : plaisir-bonheur-histoire 
@beinsports_FR 3 #ATPextra
#IncroyableSem",P Etcheverria-Bruley
186,14265,0,0,negative,DigitalMajority,Video - Roger Federer Forehand Spin Variation in Slow Motion - https://t.co/6qjBTm982N https://t.co/HLeVWEhp6G,Digital Majority
187,269,0,0,neutral,JamalovicLM,"Demain 9:30

Rafa vs Federer  ",Jamalovc LM
188,30,0,157,positive,Biryukova15,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7", 
189,664,0,0,neutral,mikrmen,"@karloswufi No, pero yo soy de Ribera igual que soy de Federer!",Mary
190,7,0,0,positive,KemnaHolland,Roger Federer vs Juan Martin del Potro Full Highlights HD | Shanghai Mas... https://t.co/IN5UQJURIC via @YouTube,Kemna
191,8,0,0,neutral,Shirley98002406,@usopen Roger Federer...stay focus,Shirley Byers
192,209,0,0,neutral,Sportschau_News,Schanghai bekommt einen Traumfinal - Roger Federer erreicht bei seinem ersten ATP-Einsatz seit dem US Open den ... https://t.co/DFJ263hxC1,Sportschau Sportnews
193,2137,0,33,neutral,UlisesAlmada,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,ULISESALMADA
194,73,0,1,neutral,FynboiG,"RT @DeportesRCN: #Tenis | @RafaelNadal y @rogerfederer se citan en la final del Masters 1.000 de Shanghi.
 
https://t.co/ONLw0qJU7l https:",Fynboi Gh
195,546,0,33,neutral,Gabi_Vale18,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,...
196,659,0,157,positive,alexescudero_,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",Alex Escudero
197,320,0,2,neutral,CMarieh2,"RT @Marathonbet_es: No olvides poner el despertador 
Maana, 10:30h
Nadal - Federer 
Final #ATPShanghai 

 https://t.co/SNuuBrQ8kE",Dreamer!!
198,2129,0,0,neutral,airiters,"Roger Federer will face longtime rival Rafael Nadal for the ...
It's Federer v. Nadal In Shanghai Final https://t.co/DuIG0OvYfT",Airiters
199,191937,665,311,positive,TennisTV,"Open Era match wins...

Connors - 1256
Federer - 1121
Lendl - 1068
Vilas - 929
McEnroe - 877
Agassi - 870
Nadal - 8 https://t.co/ohwo32XXcr",Tennis TV
200,4755848,432,269,neutral,marca,"Otro Nadal-Federer! El partido ms esperado por los amantes del tenis, en la final de Shanghai. Ser la tercera en https://t.co/YCWPHKsu2a",MARCA
201,831558,232,160,neutral,SC_ESPN,Tendremos una nueva final de lujo para disfrutar. Federer y Nadal se enfrentarn para quedarse con el M1000 de Shan https://t.co/SWihi8lvwW,SportsCenter
202,207,0,157,positive,kris_O_H,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",allyssy_linette
203,385,0,508,neutral,CarlitosMiguelR,"RT @goitiatenis: FINALSIMAL! Federer derrot 3-6, 6-3 y 6-3 a Del Potro en Shanghai y definir ante Nadal. Ser la final N143 del suizo,",Carlos Miguel Reyes
204,500,0,15,neutral,sushimaccheese,"RT @josemorgado: Del Potro to the umpire. ""Federer scares you. He told you two words and you stayed quiet"" https://t.co/tOA3Ihyfja",Rika
205,36,0,254,neutral,LeonardoOlmer,"RT @SC_ESPN: Y la final del M1000 de Shanghai ser Federer vs. Nadal! Roger venci 3-6, 6-3 y 6-3 a Del Potro y luchar por el ttulo ante",Leonardo Olivar
206,1029,0,15,neutral,TrollandGarros,"RT @josemorgado: Del Potro to the umpire. ""Federer scares you. He told you two words and you stayed quiet"" https://t.co/tOA3Ihyfja",  
207,261317,0,0,neutral,elsiglocomve,#Deportes Duelo de titanes en Shangi: Nadal vs Federer https://t.co/OGqhIsJKaw https://t.co/SDJzYU8Fli,elsiglocomve
208,320,0,0,positive,DEllis_11,"Dale Jr on the pole tomorrow at Talladega
Federer vs Nadal final in China 
Gonna be a great sports Sunday",Dustin Ellis
209,311118,1,0,neutral,ESPNtenis,#TENISxESPN La amenaza de Del Potro llegaba desde su potente derecha. As dominaba a Federer en el inicio. https://t.co/6VSbCIBqvr,ESPN Tenis
210,53,0,157,positive,v_allagiannis,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",vassilis allagiannis
211,6530,0,0,neutral,aldaghriri,@Hani_Federer             ., 
212,13,0,12,positive,sam_broder,RT @jokelley_tennis: Either Rafael Nadal or Roger Federer will be the 107th consecutive European winner of Masters 1000s + grand slams + ye,Sam Broder
213,121,0,90,positive,iruiz95,RT @Rafael_Plaza: Federer about Nadal: I'm happy to call him a friend today.,Iigo Ruiz
214,189,0,157,positive,ChristianUrbani,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",Chrstian Urbani
215,1239,0,157,positive,castrogo,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",Sick World Order
216,620,0,19,neutral,Nanvel,RT @ELTIEMPO: Nadal vs. Federer: la final soada del Msters 1000 de Shanghi https://t.co/JXKUs7uROB https://t.co/GhOsFs5qWq,Nancy VelandiaArdila
217,205,0,0,neutral,TIRUTAKARUKI,Roger Federer https://t.co/JnO6Vm4wyM,Tirtha Karki
218,6794,0,0,neutral,lancelot_xbal,Anlisis final Shanghi 2017: Federer-Nadal. https://t.co/Ni2poFhveB,Lobo
219,147,0,0,neutral,receptornot,"Nadal y Federer iluminan Shanghi: Frtense bien los ojos, despejen las legaas y srvanse https://t.co/n3oraKX7eV",receptor
220,435,0,5,neutral,nuriacorraliza,RT @elespanolcom: Este domingo Nadal disputa la final de #Shanghi ante Federer. En @podium_EE el horario y dnde verlo https://t.co/ZNSGMQ,nuria
221,189,0,33,neutral,DerlisAguilera4,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Derlis Aguilera
222,72,0,0,neutral,vozdelosninos1,Del Potro cay ante Federer en las semis de Shanghai https://t.co/JVwXzb3kCV va @DiarioElLitoral,La Voz de los Nios
223,164,0,216,neutral,Jalr30,"RT @goitiatenis: GRACIAS POR TANTO!! Hay ms #Fedal Llega el 38 Federer-Nadal, en Shanghai. Con 36 aos Roger y 31 Rafa, juegan 3 final",Armando Len
224,3337,0,11,positive,SachinRoger1710,"RT @DonaldTendulkar: On the line @SH_RolexMasters final:
Federer: 350th M1000 win, 700th HC match win, 94th title to tie lendl
Nadal: 31 M1",Diehard SRT&RF fan
225,543,0,15,neutral,Phai___,"RT @josemorgado: Del Potro to the umpire. ""Federer scares you. He told you two words and you stayed quiet"" https://t.co/tOA3Ihyfja",Double Combo~
226,76,0,33,neutral,JheissonCruz,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Lenyn
227,135,0,39,neutral,onurergul,"RT @demarkesports: Del Potro'yu 3-6, 6-3 ve 6-3'lk setlerle 2-1 malup eden Roger Federer, Shanghai Masters finalinde Rafael Nadal'n raki",Onur
228,455,0,6,neutral,footcedric,"RT @actus__tennis: Federer sur la presse franaise : "" Quand un de vos joueurs
fait quarts de finale dun tournoi, cest, waouh, incroyable",Cdric 
229,405,0,0,neutral,MaximeBatt,"@Benjpls @rigolusse Oui, vu le niveau de jeu et la confiance du Majorquin, il a clairement l'avantage. Federer revi https://t.co/mbRdhBWERE",Maxime Battistella
230,22,0,112,neutral,lefrancois_eric,RT @WeAreTennisFR: Roger #Federer renverse Juan Martin #DelPotro 3-6 6-3 6-3 pour nous offrir une finale de rve face  Nadal  #Shanghai !,lefrancois eric
231,510,0,33,neutral,FacuLabourdette,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Facundo
232,166,0,33,neutral,JuanRCaballero9,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Juan R. Caballero
233,343,0,160,neutral,Jhon4tn,RT @SC_ESPN: Tendremos una nueva final de lujo para disfrutar. Federer y Nadal se enfrentarn para quedarse con el M1000 de Shanghai. https,jhn
234,56,0,6,neutral,cecilia_matiass,"RT @actus__tennis: Federer sur la presse franaise : "" Quand un de vos joueurs
fait quarts de finale dun tournoi, cest, waouh, incroyable",Ceci
235,940,0,17,neutral,azadayub,"RT @TennisTV: Davydenko, Murray, Djokovic, Federer...

Whose name will be added to the #SHRolexMasters champions list on Sunday? https://t.",Azad Ayub
236,299,0,0,neutral,WorldNewsByRon,Shanghai Masters: Rafael Nadal to play Roger Federer in final https://t.co/EbcYhrPEIN https://t.co/KlQDzO0c7u,WorldNews
237,715,0,33,neutral,Rakagomez,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Raquel Gomez
238,160,0,157,positive,AdrianaIvonneC,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",Adriana Ivonne C
239,32331,0,0,neutral,elPeriodicoDM,#Tenis | Rafael Nadal y Roger Federer se medirn en la final del Masters de Shanghi https://t.co/zlH4qNLZBp https://t.co/x8EXSpjWX8,Peridico de Monagas
240,343,0,202,neutral,Jhon4tn,"RT @ESPNtenis: #TENISxESPN El N1 y el N2, listos para otra batalla. Quin ganar? Nadal o Federer? El domingo, a las 5.30 (BUE) por ESP",jhn
241,10,0,0,positive,JackPeoples2513,The world has given us another #Federer vs #Nadal final... life is good  https://t.co/5zrtqOK1ou,Jack Peoples
242,1292,1,0,neutral,Anza98,nadal and federer in dream final ommmgg,Anza 
243,17,0,0,neutral,JavierWolf10,Su majestad Roger Federer accedio a la final del masters 1000 de shanghai tras ganarle 3-6 6-3 6-3 a Juan M. Del Potro #BETCRIS,Javier Lobo
244,68,0,14,neutral,Sourdough_bro,RT @Tennis: Federer thinks it's easier for players to have longer careers now | https://t.co/d7enbmMJfV https://t.co/Y8LJ9OGNCG,Kevin Yee
245,290,0,12,positive,jessicaale18,"RT @PuntoDBreak: Federer: ""Cuando estuve lesionado, me di cuenta del valor que tiene Rafa cada vez que super una lesin"" https://t.co/zwKu",Jessica Martinez
246,76,0,808,neutral,Goku_Federer,"RT @Luis_Delia: Recin me pidi el Dr Oscar Parrilli que no asista al acto de la cancha de Racing por que consideran ""los jefes"" que yo soy",Goku
247,12,0,0,neutral,Pepe_1691,"Los mas grandes del tenis de todos los tiempos.
Nadal y Federer, dos maneras de eternizarse https://t.co/jkmojSsop0 va @elmundoes",Pepe G. C.
248,12,0,0,neutral,marck78540,@kaykebet Je cumul avec Federer,Kouyoumdjian Marc
249,307,0,17,neutral,manujcase,"RT @diarioas: Nadal-Federer: captulo 38, la opinin de @Juan_Guti  https://t.co/pspS6RRD2J https://t.co/MUpUrHn5Ij",Manuel Jess
250,343,0,67,neutral,Jhon4tn,"RT @RogerFedererPy_: Roger Federer alcanz la victoria N 1123 de su carrera, la 349 en M1000, la 17 en Shanghai y la 43 del ao. https:",jhn
251,388,0,12,positive,alexvalle90,"RT @PuntoDBreak: Federer: ""Cuando estuve lesionado, me di cuenta del valor que tiene Rafa cada vez que super una lesin"" https://t.co/zwKu",Alejandro Valle
252,117,0,0,neutral,Raqueta_6A,Captulo 38: #Nadal y #Federer se enfrentarn en una final ms (por @cesarzarate_) https://t.co/aCirzHcsHb #masters1000shanghai,Sexto Anillo Raqueta
253,295,0,33,neutral,NinocasNinoska,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Ninoska
254,639,0,33,neutral,SebrianoCamila,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,SebrianoCamila.-
255,343,0,269,neutral,Jhon4tn,"RT @marca: Otro Nadal-Federer! El partido ms esperado por los amantes del tenis, en la final de Shanghai. Ser la tercera entre ambos en",jhn
256,295,0,158,neutral,NinocasNinoska,"RT @ESPNtenis: #TENISxESPN A ponerse el ! Una cita imperdible para el domingo: Nadal vs. Federer, a las 5.30 (BUE)/3.30 (BOG) por ESPN y",Ninoska
257,42,0,0,neutral,herbozobravo,@E_FLEISCHMAN @rogerfederer @RafaelNadal Roger Federer el mas grande mas nada,jose antonio
258,410,0,54,neutral,carlosgrommeck1,RT @MarDeporte: Para ver maana Roger Federer-Rafael Nadal tienen 2 opciones. Dormir temprano y madrugar o farrear y no dormir. El partido,Carlitos Grommeck
259,8153,0,2,neutral,MarisaVargas_R,"RT @PuntoDBreak: Federer contra Nadal. Captulo 38. El suizo gan los ltimos cuatro duelos, cortar la racha el espaol? https://t.co/MBV",MARISA #SiALaVida
260,55,0,216,neutral,BeaF8809,"RT @goitiatenis: GRACIAS POR TANTO!! Hay ms #Fedal Llega el 38 Federer-Nadal, en Shanghai. Con 36 aos Roger y 31 Rafa, juegan 3 final",Bea F
261,343,0,33,neutral,Jhon4tn,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,jhn
262,966183,0,0,neutral,CaraotaDigital,Federer elimin a Del Potro en Shanghai y se enfrentar a Nadal en la final / Va @CaraotaDeportes https://t.co/qG4DffLuhc,CaraotaDigital
263,5331,0,0,neutral,DisipR01,"Toda PERSONA DECENTE NO DEBE VOTAR https://t.co/d9gbMVTFNo 371&amp;lt; #DerechoDeRebelin EXH Mundial de 2018 Roger Federer ""Superteams""",Disip R01
264,34,0,12,positive,JueshaRawr,RT @jokelley_tennis: Either Rafael Nadal or Roger Federer will be the 107th consecutive European winner of Masters 1000s + grand slams + ye,Juesha Rawr
265,43,0,269,neutral,LeoLopezGo,"RT @marca: Otro Nadal-Federer! El partido ms esperado por los amantes del tenis, en la final de Shanghai. Ser la tercera entre ambos en",Leo Lopez
266,76,0,508,neutral,dfmr95,"RT @goitiatenis: FINALSIMAL! Federer derrot 3-6, 6-3 y 6-3 a Del Potro en Shanghai y definir ante Nadal. Ser la final N143 del suizo,",Daniel Malaver
267,138,0,157,positive,mbCarlos,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",Carlos
268,398,0,2,neutral,edu4u_per,"RT @PuntoDBreak: Maana, Federer-Nadal, a las 10:30 de la maana horario de Espaa https://t.co/XnK4AQrBzG",Eduardo Alcarraz
269,16536,0,0,neutral,AsiEsNoticiasVe,Federer: Nadal es uno de esos tipos que me hacen un mejor jugador https://t.co/XC5vAxFyAj https://t.co/sfAeagXl1B,As es Noticias
